Name,Country,Years active,Proven victims,Possible victims,Notes
Omar Abdul Razeq Abdullah Rifai,Egypt,2008–2013,38,38,"After being released from prison in 2013 for his involvement in the deaths of 23 people during a domestic dispute, he opened fire in his village with a rifle, killing 15 people before being shot dead by other villagers.[32]"
Serhiy Tkach,Soviet Union  Ukraine,1984–2005,37,100+,"A former Ukrainian police criminal investigator, Tkach suffocated girls aged between eight and eighteen, and performed sexual acts on their bodies after they were dead. He claimed to have killed 100. He was sentenced to life imprisonment, and died from heart failure in 2018.[33]"
Gennady Mikhasevich,Soviet Union,1971–1985,36,43–55+,"Mikhasevich killed women by strangling them. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). He was executed by firing squad in 1987.[34]"
Hadj Mohammed Mesfewi,Morocco,1906 and earlier,36,36+,"Known as ""Marrakesh Arch-Killer""; Mesfewi drugged, mutilated and murdered women; he was executed by immurement (walling) in 1906."
Vera Renczi,Kingdom of Romania  Yugoslavia  Hungary (alleged),1920–1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"". Renczi was convicted of killing 35 men through arsenic poisoning, but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes, because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore, rather than an actual person.[35]"
Fernando Hernández Leyva,Mexico,1982–1999,33,137,"Hernández Leyva confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted, and claimed that he had been beaten by the police and his family threatened in order to force him to confess. He was accused of as many as 137 murders in five southern Mexican states, was convicted of 33 murders, and was sentenced to 50 years in prison. He tried unsuccessfully to commit suicide in prison. If his claim of 100+ victims were true, then Leyva would be Mexico's most prolific documented serial killer.[36]"
John Wayne Gacy,United States,1972–1978,33,34-45+,"Gacy is known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. He was known as the ""Killer Clown"", due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.[37]"
Ali Asghar Borujerdi,Ottoman Empire  Iraq  Iran,1907–1934,33,33,"Known as ""Asghar the Murderer"". Borujerdi killed 33 young adults in Iraq and Iran. He was executed by hanging in 1934.[38]"
Vasili Komaroff,Soviet Union,1921–1923,33,33,"Known as ""The Wolf of Moscow""; Komaroff was a horse trader who killed 33 men. He was executed by firing squad in 1923."
Ramadan Abdel Rehim Mansour,Egypt,1999–2006,32,32+,"Mansour was a gang leader known as ""al-Tourbini"" (""The Express Train""). He had raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia, and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times, they were thrown into the Nile or buried alive. Mansour was executed in 2010.[39]"
Karl Denke,Germany,1900–1924,30,42+,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.[40]"
Francisco das Chagas Rodrigues de Brito,Brazil,1989–2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.[41]"
Monster of the Mangones,Colombia,1963–1970s,30,38,"Unidentified serial killer(s) who kidnapped, tortured, raped, and murdered at least 30 boys in Cali, Colombia."
Milton Sipalo,Zambia,1980,30,31,"Known as ""The Lusaka Strangler""; A soldier who raped and murdered women and girls in Lusaka. While awaiting trial, he jumped off of the roof of the police station he was being interrogated at, killing himself.[42]"
Luis Gregorio Ramírez Maestre,Colombia,2010–2013,30,30,Killed motorists in various municipalities before his 2012 capture.[43] Was sentenced to 34 years in prison.
David Thabo Simelane,Swaziland,2000–2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.[44]"
Zhang Jun,China,1993–2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.[45]"
Mariam Soulakiotis,Greece,1939–1951,27,177+,"Known as ""Mother Rasputin""; abbess believed to have murdered wealthy women and children who came into her abbess. The true number of her victims is a matter of debate, but she was found guilty of 177 murders—150 through negligence (fraudulently claiming to offer free tuberculosis treatment when the 'treatment' only consisted of abiding in her high altitude convent) and 27 through starvation. Died in prison in 1954.[46][47]"
Cedric Maake,South Africa,1996–1997,27,35+,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.[48]"
Volga Maniac,Russia,2011–2012,26,32,Murdered elderly women in several Russian regions.[49]
Bruce George Peter Lee,United Kingdom,1973–1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.[50]"
The Stoneman,India,1985–1989,25,25+,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.[51]"
Juan Corona,United States,1971,25,25+,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment.[52] Died from natural causes in 2019.
Fritz Haarmann,Germany,1918–1924,24,27+,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.[53]"
Béla Kiss,Austria-Hungary,1912–1916,24,24+,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.[54]"
Majid Salek Mohammadi,Iran,1981–1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.[55]"
Yvan Keller,France  Germany (suspected)  Switzerland (suspected),1989–2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.[56]"
Ronald Dominique,United States,1997–2006,23,23+,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.[57]"
Juan Fernando Hermosa,Ecuador,1991–1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.[58]"
Earle Nelson,United States  Canada,1926–1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.[59]"
Mikhail Novosyolov,Soviet Union  Russia  Tajikistan,1977–1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.[60]"
Manuel Octavio Bermúdez,Colombia,1999–2003,21,50+,"Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia.[61] Sentenced to 40 years in prison."
Patrick Kearney,United States,1965–1977,21,43+,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them.[62] Sentenced to imprisonment for life."
William Bonin,United States,1979–1980,21,36+,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.[63]"
Vasile Tcaciuc,Romania,1917–1935,21,26+,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.[64]
Yoo Young-chul,South Korea,2003–2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession.[65] Was sentenced to death and currently incarcerated.[66][67]"
Francisco Guerrero Pérez,Mexico,1880–1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.[68]"
Ted Bundy,United States,1974–1978,20,35–100+,"Bundy was an American serial killer known for his charisma and good looks. He officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. He was infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another.[69] He was executed by electric chair in 1989.[70][71]"
Surinder Koli,India,2005–2006,19,30+,"Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surinder Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted and sentenced to life.[72]"
Larry Eyler,United States,1982–1984,19,23+,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.[73]"
Cape Town Prostitute Killer,South Africa,1992–1996,19,20,"Unidentified serial killer who, on rainy nights, picked up prostitutes and domestic workers in his vehicle, strangled them in parking lots, and dumped their bodies in rural, preselected spots.[74]"
"""El Psicópata""",Costa Rica,1986–1996,19,19+,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.[75]"
Sergei Ryakhovsky,Soviet Union  Russia,1988–1993,19,19+,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.[76]"
Yevgeny Chuplinsky,Russia,1998–2006,19,19+,"Known as the ""Novosibirsk Maniac""; killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.[77]"
M. Jaishankar,India,2008–2011,19,19+,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in prison on 27 February 2018.[78]"
Ansis Kaupēns,Latvia,1920–1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.[79]
Vadim Ershov,Russia,1992–1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.[80]"
Velaphi Ndlangamandla,South Africa,1998,19,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.[81]"
Valery Kopytov,Russia,2000–2004,19,19,"Known as ""The Barnaul Chikatilo""; homeless man who killed other homeless people in Altai Krai.[82]"
Randall Woodfield,United States,1979–1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders.[83] Sentenced to imprisonment for life."
Yavuz Yapıcıoğlu,Turkey,1994–2002,18,40,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives.[84] Was sentenced to 74 years in prison.
Paul John Knowles,United States,1974,18,35+,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.[85]"
Thierry Paulin,France,1984–1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.[86]"
Richard Nyauza,South Africa,2002–2006,18,19,"Known as ""The Quarry Murderer""; bludgeoned, beat, strangled, and stabbed 16 women and two unborn children to death and left their bodies in or around a quarry. Given 16 life sentences.[87]"
Umesh Reddy,India,1996–2002,18,18+,Confessed to 18 rapes and murders. Sentenced to death.[88]
Christopher Mhlengwa Zikode,South Africa,1994–1995,18,18+,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995.[89] Was given 140 years (5 life sentences)."
Asande Baninzi,South Africa,2001,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.[90]"
Kotakethana murders,Sri Lanka,2008–2015,18,18+,17 mysterious murders of women nearby area in the Rathnapura district of Sri Lanka. (2007 to 2015) One middle age man suspect was arrested in 2015 and his DNA matched with six murders. Nine other cases remain unsolved.[91][92]
Richard Cottingham,United States,1967–1980,17,85–100,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", with 17 confirmed homicide victims[93] including nine convictions and a further eight official confessions. He has made unsubstantiated claims of up to a hundred victims.[94]"
Huang Yong,China,2001–2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003.[95] Executed by firing squad in 2003."
Pedro Pablo Nakada Ludeña,Peru,2005–2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.[96]"
Darbara Singh,India,2004,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.[97]
Robert Hansen,United States,1971–1983,17,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 17 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.[98]"
Sergei Dovzhenko,Ukraine,1992–2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.[99]"
Donato Bilancia,Italy,1997–1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life.[100]"
Irina Gaidamachuk,Russia,2002–2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison."
Randy Steven Kraft,United States,1971–1983,16,67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice.[101] Sentenced to death."
Juana Barraza,Mexico,late 1990s–2006,16,49,Mexican female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.
Michel Fourniret,France  Belgium,1987–2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003.[102] Sentenced to life and died of respiratory problems while in prison in 2021.
Sipho Agmatir Thwala,South Africa,1996–1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life.[103]"
Saeed Hanaei,Iran,2000–2001,16,19,"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.[104]"
Maina Ramulu,India,2003–2020,16,18,"Convicted of murdering 16 women between 2003 and 2013 during three separate murder sprees. He was released from prison in 2020, and allegedly murdered two more women.[105]"
Jeffrey Dahmer,United States,1978–1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.
José Antonio Rodríguez Vega,Spain,1987–1988,16,16+,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims.[106] He was stabbed to death by two inmates while incarcerated in 2002."
Carroll Cole,United States,1948–1980,16,16,"Killed 16 people in California, Nevada, and Texas.[107] Executed by lethal injection in 1985."
Elias Xitavhudzi,South Africa,1950s,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.[108]"
Charles Ray Hatcher,United States,1969–1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"".[109] Sentenced to life; committed suicide by hanging himself in prison in 1984."
Yuri Ivanov,Soviet Union,1974–1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.[110]"
Robert Lee Yates,United States,1975–1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.[111]"
Vladimir Mirgorod,Russia,2003–2004,16,16,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.[112]"
Farid Baghlani,Iran,2004–2008,16,16,"Known as the ""Cyclist killer""; murdered 15 women and 1 boy. Executed by hanging on November 13, 2010.[113]"
Jimmy Maketta,South Africa,2005,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.[114]
Jack Mogale,South Africa,2008–2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.[115]"
Donald Henry Gaskins,United States,1953–1982,15,100+,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 100 and 110 victims. Executed by electric chair in 1991."
Ravinder Kumar,India,2008–2015,15,30+,Serial rapist who killed children of poor families.[116]
Atlanta Ripper,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.[117]"
Ángel Maturino Reséndiz,United States  Mexico,1986–1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.[118]"
Chester Turner,United States,1987–1998,15,15+,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.[119]
Alexander Labutkin,Soviet Union,1933–1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.[120]"
Florencio Fernández,Argentina,1950s,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest."
Elifasi Msomi,South Africa,1953–1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.[121]
Maurizio Minghella,Italy,1978–2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.[122]"
Bai Baoshan,China,1983–1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.
Lee Choon-jae,South Korea,1986–1994,15,15,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated.[123] A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law."
Carl Eugene Watts,United States,1974–1982,14,100+,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.[124] Watts is now suspected to have killed more than 100 women, which would make him the most prolific serial killer in American history.[125]"
Belle Gunness,United States,1884–1908,14,40,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own.[126] Ultimate fate unknown."
Philipp Tyurin,Soviet Union,1945–1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.[127]"
Zdzisław Marchwicki,Poland,1964–1970,14,21+,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.[128]"
Monster of Florence,Italy,1968–1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.[129][130]"
Julio Pérez Silva,Chile,1998–2001,14,14+,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.[131]
Joachim Kroll,West Germany,1955–1976,14,14,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.[132]"
